CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8012100,"جوزالبرازيل بقشرة ,",BRAZIL NUTS WITH SHELL,78.0,8910.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8013100,"جوزالكاشوبقشرة ,",CASHEW NUTS WITH SHELL,278718.0,172583.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8021100,لوز بقشره,ALMONDS IN SHEELS,168750.0,738126.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8022100,بندق بقشره,HAZELNUTS IN SHELLS,7119.0,48750.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8023100,جوز بقشره,WALNUTS IN SHELLS,63075.0,48120.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8024100,كسـتناء ( ابوفروه )ـ بقشرة ,CHESTNUTS (CASTANEA SPP.),1048762.0,1444019.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8025100,فستق بقشره,PISTACHIOS IN SHELLS,652355.0,387307.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8026100, جوز المكاديما, Macadamia nuts,76925.0,11850.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8027090,جوز الكولا (كولا)؛ ماعدا ثمرة القورو,Kola nuts (Cola spp.) other than Cola Acuminata,248750.0,27186.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8028000,جوز اريكا ,OTHER NUTS IN SHELLS,80000.0,1089733.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8029100,صنوبر بقشرة,"Pine nuts, in shell",25350.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8029200,صنوبر مقشر,"Pine nuts, shelled",263289.0,389000.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8029991,بقشرة,In shell,19775.0,191151.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8029992,مقشر,Shelled,380110.0,50145.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8031000, موز (بلانتان),PLANTAINS,29540741.0,43497567.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8039000,غيرها من موز,OTHER BANANAS,5982265.0,15630436.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,8041010,تمر طازج (رطب),FRESH DATES,508521655.0,790684206.0
