CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024,Growth,Share
ISI4,10.0,صُنع المنتجات الغذائية,Manufacture of food products,H,20071090.0,غيرها من محضرات متجانسه من ثمار او فواكه,OTHER HOMOGENIZED FRUIT PREPARATIONS,899757.0,3040467.0,2.3792090531110066,3.482686196855567e-06
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,36050000.0,ثقاب ( كبريت )ـ  عدا الاصناف الناريه الفنيه,"MATCHES, OTHER THAN PYROTECHNIC ARTICLES",899382.0,1193165.0,0.32664985512273986,1.3667042845954822e-06
ISI4,28.0,صُنع الآلات والمعدات غير المصنّفة في موضع آخر,Manufacture of machinery and equipment n.e.c.,H,84101200.0,توربينات هيدروليكيه قدرتها بين (1001 - 10000)ـ  كيلو واط,"HYDRAULIC TURBINES 1,000 TO 10,000 KW",899016.0,4885451.0,4.4342203030869305,5.596012968769017e-06
ISI4,15.0,صُنع المنتجات الجلدية والمنتجات ذات الصلة,Manufacture of leather and related products,H,42050040.0,قراطيس، مكاتب من جلد او مغلفه بجلد,DESK PADS OF LEATHER OR COVERED WITH LEATHER,898289.0,2159729.0,1.404269672677724,2.473849700473209e-06
ISI4,24.0,صُنع الفلّزات القاعدية,Manufacture of basic metals,H,72112900.0,غيرهامن منتج مجلخ بالحراره من حديداوصلب،بعرض،600مم فاقل,"OTHER HOT-ROLLED IRON OR STEEL, UNDER 600 MM WIDE",896952.0,6337127.0,6.065179630571089,7.2588272560171605e-06
ISI4,16.0,صُنع الخشب ومنتجات الخشب والفلين، باستثناء الأثاث؛ صُنع أصناف من القش ومواد الضفر,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",H,44014900.0,نفايا وفضلات خشب غير مكتلة (عدا النشارة),Not agglomerated wood waste and scrap (exclude sawdust),896387.0,1040432.0,0.16069510155769773,1.1917571100646153e-06
ISI4,22.0,صُنع منتجات المطاط واللدائن,Manufacture of rubber and plastics products,H,40103600.0,سيورنقل  حركة متزامنة مقفلةبدوننهاياتلا يزيد عن 150-198 سم,MOVEMENT BELT BETWEEN 150-198 CM,895112.0,866873.0,-0.03154800740019126,9.92954908415969e-07
ISI4,22.0,صُنع منتجات المطاط واللدائن,Manufacture of rubber and plastics products,H,59069100.0,نسج ممططه مصنره,KNITTED OR CROCHETED RUBBERIZED TEXTILES,892968.0,1604169.0,0.7964462332356814,1.8374865550994627e-06
ISI4,20.0,صُنع المواد الكيميائية والمنتجات الكيميائية,Manufacture of chemicals and chemical products,H,29094400.0,اثيرات اخر احاديه الالكيل من ايثيلين,OTHER MONOALKYLETHERS OF ETHYLENE,888915.0,5679048.0,5.38874133072341,6.5050342861409815e-06
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,57029290.0,غيرها من سجاد من نسج تركيبى اواصطناعى ،غير مخليه ،جاهزه,"OTHER CARPETS OF MANMADE TEXTILES, NOT PILE, MADE UP",888635.0,906431.0,0.02002621998908438,1.0382664018724715e-06
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,55112000.0,خيوط غزل بها اقل من %85 وزنا من الياف تيليه تركيبيه,"YARN OF UNDER 85% SYNTHETIC STAPLE FIBERS, RETAIL",888363.0,511064.0,-0.4247126456189643,5.853954469855431e-07
ISI4,13.0,صُنع المنسوجات,Manufacture of textiles,H,52121500.0,نسج اخرمن قطن مطبوعه لايزن المتر المربع اكثر من 200غرام,"PRINTED OTHER COTTON WOVENS, UNDER 201 G/M2",887824.0,31264.0,-0.9647858134044586,3.581117678912234e-08
ISI4,99.0,أنشطة المنظمات والهيئات غير الخاضعة للتشريعات الوطنية,Activities of extraterritorial organizations and bodies,H,38251000.0,     نفايات البلدية من المواد الكيماوية,MUNICIPAL WASTE CHEMICAL,886103.0,222882.0,-0.7484694217263681,2.552989606292594e-07
ISI4,1.0,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7139090.0,غيرها من خضروات بقليه جافه,OTHER DRIED LEGUMINOUS VEGETABLES,884918.0,547483.0,-0.381317817018074,6.271113901624573e-07
